2022-08-17 19:16:53.032 [background-preinit] INFO  [Version.java:21] - HV000001: Hibernate Validator 6.1.7.Final
2022-08-17 19:17:01.759 [restartedMain] INFO  [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8500"]
2022-08-17 19:17:01.761 [restartedMain] INFO  [DirectJDKLog.java:173] - Starting service [Tomcat]
2022-08-17 19:17:01.762 [restartedMain] INFO  [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.43]
2022-08-17 19:17:02.143 [restartedMain] INFO  [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
2022-08-17 19:17:02.144 [restartedMain] INFO  [ServletWebServerApplicationContext.java:289] - Root WebApplicationContext: initialization completed in 8998 ms
2022-08-17 19:17:06.465 [restartedMain] INFO  [ExecutorConfigurationSupport.java:181] - Initializing ExecutorService 'applicationTaskExecutor'
2022-08-17 19:17:06.640 [restartedMain] INFO  [WelcomePageHandlerMapping.java:57] - Adding welcome page template: index
2022-08-17 19:17:06.803 [restartedMain] WARN  [TemplateMode.java:150] - [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2022-08-17 19:17:07.602 [restartedMain] INFO  [OptionalLiveReloadServer.java:58] - LiveReload server is running on port 35729
2022-08-17 19:17:07.812 [restartedMain] INFO  [ExecutorConfigurationSupport.java:181] - Initializing ExecutorService 'taskScheduler'
2022-08-17 19:17:08.106 [restartedMain] INFO  [LogAccessor.java:174] - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2022-08-17 19:17:08.106 [restartedMain] INFO  [LogAccessor.java:174] - Channel 'multi-wechat.errorChannel' has 1 subscriber(s).
2022-08-17 19:17:08.107 [restartedMain] INFO  [LogAccessor.java:174] - started bean '_org.springframework.integration.errorLogger'
2022-08-17 19:17:08.108 [restartedMain] INFO  [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8500"]
2022-08-17 19:17:08.142 [restartedMain] INFO  [TomcatWebServer.java:220] - Tomcat started on port(s): 8500 (http) with context path '/multi-wechat'
2022-08-17 19:17:08.162 [restartedMain] INFO  [StartupInfoLogger.java:61] - Started MultiWechatApplication in 16.223 seconds (JVM running for 20.504)
2022-08-17 19:17:19.214 [http-nio-8500-exec-1] INFO  [DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-17 19:17:19.215 [http-nio-8500-exec-1] INFO  [FrameworkServlet.java:525] - Initializing Servlet 'dispatcherServlet'
2022-08-17 19:17:19.220 [http-nio-8500-exec-1] INFO  [FrameworkServlet.java:547] - Completed initialization in 5 ms
2022-08-17 19:17:22.064 [http-nio-8500-exec-3] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:17:22.281 [http-nio-8500-exec-3] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:17:22.281 [http-nio-8500-exec-3] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/getVarCode
2022-08-17 19:17:22.282 [http-nio-8500-exec-3] INFO  [LogAspect.java:50] - 请求方式:GET
2022-08-17 19:17:22.282 [http-nio-8500-exec-3] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:17:22.283 [http-nio-8500-exec-3] INFO  [LogAspect.java:52] - 请求类型:null
2022-08-17 19:17:22.283 [http-nio-8500-exec-3] INFO  [LogAspect.java:53] - 请求参数:[]
2022-08-17 19:17:28.078 [http-nio-8500-exec-3] INFO  [LogAspect.java:64] - 处理请求[admin/getVarCode]耗时(毫秒):5794
2022-08-17 19:17:28.206 [http-nio-8500-exec-3] INFO  [ResultHandler.java:24] - 接口返回={"code":100000,"data":{"varCode":"data:image/png;base64,/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCAAeAGQDASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwD0JalUVGoqVRQA9RUq0xRWJr+sXthc2llYpB9ouxIImmyV3ALgHHTOTj3FXTpyqS5Y7ibsdEKoXOv2Vk7pKZNyhjhUJJAzk+y5BG44HvjmuS1fw7qcOnXWr6jr8zz20TShIxtjCr8zKFHXhR17iuU8K2b+KpfKlHTeriV95OwKGYYxjAeMAdOT2BB9Khl8KlKVZz92O9l+V7XJc2nY9rtbmK6iWSJgQVDY7jIyMjtxVpRXi3hXWtS0LxPc6PcSStAJ4/3TIAV8w7lGAcrywHQrlgOCQa77W9f1KYJZ+HoEnuZQGWUyKBsOV3AHrhhz6Y96zxOXVKNZU0000mn0s/UFNNXOwFSqK4/SfB1xFK1xrOs3d/Kysu0yFUAIA6D2ArivG3j3xDBdW8ljZz2WnsiSh34aRdwzx25IUilhcvniqvsqEk/PZfjq/uCU+VXZ7SoqVRVPToriKxiS7l82cD53xjJq6orz2WPA4opQOKKAOKUVIopi1KtAD1Fcl4ht9UuPEFvFp9qko/dzmd/uxbG4HuSecV1y1zbaxeS+KUtAVjs1Zhlfvsy9Qe2CT+ldOFcozcopOye4pGHqtzq/2ubS59Slled2jYBYiFjIwMr1APXPbIz1qlb+EdZ0ibdpubZpBtkWLqh2beGBGeMNyRkg98Cr9o0niTxzqF1bEQmxi8tA+V3t0+baeR9fauZ12fXtIhWKS6ha3k+SMD5yhLcfeXoCeO47GvoMNTryao0nFNpXTWjvr6PS39b4ya3ZlaTFPH45niuHMk8cp3PHgMS3UgY5PfPAB5r1a4s9am1+3uoIYYJvN3qZMSPGHQqwODjaozjnqa5L4aeGXnmfVpLsSLJKY5oirLuZTk/dYAjPqD9BXaaZ4huYdf1TS5W88WQDGQrtyWICqozwB3PJqc4r8+KfsrPkjZ/k9PUdNe7qVNA17W4vEn9m6lc/aGkXksihVw3zjcvGVGBj1PtVD4qIt1qWj2kkiRoZievLIF3EfiygfhWtoej+Z4xe9maPzHVpVCJ0QNgfMecknLdjxTvH3h6TUr/TryKZEEMitIGHLKpyFHH97n8TXHRqQhjYyWmj2XWz6FNe6d7aTC5tYZwCBIiuAe2RmrSiq1nKtxZwTKu1ZI1cL6AjOKtLXiM0HgcUUoHFFAH/2Q==","varCodeId":"hzcatrsdtxmhtelrpwdxcbrae"},"message":"success"}
2022-08-17 19:17:32.985 [http-nio-8500-exec-8] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:17:32.989 [http-nio-8500-exec-8] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:17:32.989 [http-nio-8500-exec-8] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/login
2022-08-17 19:17:32.990 [http-nio-8500-exec-8] INFO  [LogAspect.java:50] - 请求方式:POST
2022-08-17 19:17:32.990 [http-nio-8500-exec-8] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:17:32.990 [http-nio-8500-exec-8] INFO  [LogAspect.java:52] - 请求类型:application/x-www-form-urlencoded; charset=UTF-8
2022-08-17 19:17:32.991 [http-nio-8500-exec-8] INFO  [LogAspect.java:53] - 请求参数:[{"password":"123456","username":"admin","varCode":"5951","varCodeId":"hzcatrsdtxmhtelrpwdxcbrae"}]
2022-08-17 19:17:32.992 [http-nio-8500-exec-8] INFO  [UserController.java:33] - 登录>>>{"password":"123456","username":"admin","varCode":"5951","varCodeId":"hzcatrsdtxmhtelrpwdxcbrae"}
2022-08-17 19:17:33.049 [http-nio-8500-exec-8] INFO  [LogAspect.java:64] - 处理请求[admin/login]耗时(毫秒):58
2022-08-17 19:17:33.050 [http-nio-8500-exec-8] INFO  [ResultHandler.java:24] - 接口返回={"code":100001,"data":{"password":"fefeeb129cdbe03d6066baaf72379289","sessionId":"afcf4102e257bd582538daf2934d39e5","username":"admin"},"message":"登录成功"}
2022-08-17 19:17:44.141 [http-nio-8500-exec-4] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:17:44.147 [http-nio-8500-exec-4] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:17:44.148 [http-nio-8500-exec-4] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/loginOut
2022-08-17 19:17:44.148 [http-nio-8500-exec-4] INFO  [LogAspect.java:50] - 请求方式:POST
2022-08-17 19:17:44.149 [http-nio-8500-exec-4] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:17:44.149 [http-nio-8500-exec-4] INFO  [LogAspect.java:52] - 请求类型:application/x-www-form-urlencoded; charset=UTF-8
2022-08-17 19:17:44.149 [http-nio-8500-exec-4] INFO  [LogAspect.java:53] - 请求参数:[{"sessionId":"afcf4102e257bd582538daf2934d39e5","username":"admin"}]
2022-08-17 19:17:44.150 [http-nio-8500-exec-4] INFO  [UserController.java:40] - 登出>>>{"sessionId":"afcf4102e257bd582538daf2934d39e5","username":"admin"}
2022-08-17 19:17:44.157 [http-nio-8500-exec-4] INFO  [LogAspect.java:64] - 处理请求[admin/loginOut]耗时(毫秒):7
2022-08-17 19:17:44.159 [http-nio-8500-exec-4] INFO  [ResultHandler.java:24] - 接口返回={"code":100000,"data":{"password":"fefeeb129cdbe03d6066baaf72379289","sessionId":"","username":"admin"},"message":"success"}
2022-08-17 19:17:44.533 [http-nio-8500-exec-10] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:17:44.535 [http-nio-8500-exec-10] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:17:44.536 [http-nio-8500-exec-10] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/getVarCode
2022-08-17 19:17:44.536 [http-nio-8500-exec-10] INFO  [LogAspect.java:50] - 请求方式:GET
2022-08-17 19:17:44.537 [http-nio-8500-exec-10] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:17:44.538 [http-nio-8500-exec-10] INFO  [LogAspect.java:52] - 请求类型:null
2022-08-17 19:17:44.539 [http-nio-8500-exec-10] INFO  [LogAspect.java:53] - 请求参数:[]
2022-08-17 19:17:44.581 [http-nio-8500-exec-10] INFO  [LogAspect.java:64] - 处理请求[admin/getVarCode]耗时(毫秒):42
2022-08-17 19:17:44.582 [http-nio-8500-exec-10] INFO  [ResultHandler.java:24] - 接口返回={"code":100000,"data":{"varCode":"data:image/png;base64,/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCAAeAGQDASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwD0JalUVGoqVRQA9RUq1EzpFG0kjBUUZZj0ArjLfxlq2twzS6DpkckURCvNO21VJUE/lzn8PWuijhalZOUFot23ZK/mxOSR3iigXMAn8kyr5oQuVzyFBxk+2a8wh8f6jPpF39oQRXCmSJFC4LOnzSAHthPXuac2kalceGRrVpIkDFFuRFJJnCnDA7m4wqbT7YOOQK7HldSDtWajrZdr/wCXmTzp7Hq68jI6VIorhPDXjq2m8KfbdRfZPFvUQkjzH2DJwOpwO+BWd/wnms3qvcRWDWdgjruuJAflQo7ZAxzkKMe5UdxWX9mYnmlHl+F2/wCG7/IfOj1FRUikZxkZrzUeLtRfwbaanbB5mmVZAiRsWMaFUkz3Lb2A98E9KueMLMeGPCkusWNzPFd2xjLAyE+YGcKR9fmxnsKUcBUc405aOT5V67a9tWHMrXPQ1FSqKzdEvX1HR7W7kAEkiZcDs3Qj8DxWmoriaadmUPA4opQOKKQHFKKkUUxalWgClrSQSaNdQ3M3lRyxspbv0JOPwBryfSNf1a30jUNI02w86CaZyLrBCqGGc/8AfK16V4ygM/ha9CMFlVC0bf3SB1/LI/GuN0bxba6F4QdPssjOigxlSBjIymTkE46H2r3stfLhZPk525JJPRJ9/P0Mp/EJpGnjWtLOnpbxzFZvtc7ybgZnY/vADgADoD9DVLxLqWtaJYRaIspikkZY1hVjtK5PCg/wkNjk9Biuz+HGlNBo39pzspluyZFVSSEB9M9PwqHTPC8moeNptb1KSOQKT5Easfk/lXVHEwp4qp7XWENbd5fpqTZuKt1L3g7woul+HwNVVJHm/eTiQEkt2JO49uP84qr4xv01OyGhacfJ2Sqd4UsvyfNtXAwOQF5wBXQeMLu5sNBe4tmKhGAfa+0kEgcfKf6f0rhvDV/bIjalfWxuJ1aUkFiVUKwwAO+WwST6VwUfbVW8dPXXT1328i3Ze6elaJaweH/DlnauBCscYypOfmOWYfmW4rmb7TLzx69t9oaS301SrvGoxvAbofyVhUHirXLq60/TZIIYibl3jWCRmCZxyxI54BGMDueaxL/xrr+hi0t7qCxWIOvlG1ds5AwA2QMjrn608LhMVN+2pfG29e3f5hKUVoz2S2t4rWFYYVCouSAPc5/rVpRVDSZJZtKtJZn3ySRK5bGM5Ga0FrxnuaDwOKKUDiikB//Z","varCodeId":"nvtgwynaspvvufzdzdconrbro"},"message":"success"}
2022-08-17 19:17:51.553 [http-nio-8500-exec-5] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:17:51.554 [http-nio-8500-exec-5] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:17:51.555 [http-nio-8500-exec-5] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/getVarCode
2022-08-17 19:17:51.555 [http-nio-8500-exec-5] INFO  [LogAspect.java:50] - 请求方式:GET
2022-08-17 19:17:51.556 [http-nio-8500-exec-5] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:17:51.556 [http-nio-8500-exec-5] INFO  [LogAspect.java:52] - 请求类型:null
2022-08-17 19:17:51.556 [http-nio-8500-exec-5] INFO  [LogAspect.java:53] - 请求参数:[]
2022-08-17 19:17:51.572 [http-nio-8500-exec-5] INFO  [LogAspect.java:64] - 处理请求[admin/getVarCode]耗时(毫秒):15
2022-08-17 19:17:51.573 [http-nio-8500-exec-5] INFO  [ResultHandler.java:24] - 接口返回={"code":100000,"data":{"varCode":"data:image/png;base64,/9j/4AAQSkZJRgABAgAAAQABAAD/2wBDAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDL/2wBDAQkJCQwLDBgNDRgyIRwhMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjL/wAARCAAeAGQDASIAAhEBAxEB/8QAHwAAAQUBAQEBAQEAAAAAAAAAAAECAwQFBgcICQoL/8QAtRAAAgEDAwIEAwUFBAQAAAF9AQIDAAQRBRIhMUEGE1FhByJxFDKBkaEII0KxwRVS0fAkM2JyggkKFhcYGRolJicoKSo0NTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqDhIWGh4iJipKTlJWWl5iZmqKjpKWmp6ipqrKztLW2t7i5usLDxMXGx8jJytLT1NXW19jZ2uHi4+Tl5ufo6erx8vP09fb3+Pn6/8QAHwEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoL/8QAtREAAgECBAQDBAcFBAQAAQJ3AAECAxEEBSExBhJBUQdhcRMiMoEIFEKRobHBCSMzUvAVYnLRChYkNOEl8RcYGRomJygpKjU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/9oADAMBAAIRAxEAPwD0JalUVGoqVRQA9RUq0xRWB4t8S/8ACN6d5yIHkZSVBBPRlB4HsWP/AAGtKNGdaoqdNXbE3ZXZ0yinl0QEuwUAFiScAAd6zNBup73TFvZyCs7GWHHaI/cz7kYP41x/i7WS97beXJM0CXLxhIl3EyR87cAHBJDYODjAPHUa0cNOrU9mgcrK56SvTPan70QEs6rgZOT0rmta1PURoER0y1Ml7OnyhG4jIIB+ZQVOM9MjIBxnBrzfXP8AhMrGOS61GeO3gVGEhOdgV1dtpPOcshAH94r/AHhW+Ey+WJ+2l6vX7iZTse5ROkgJR1YAlTg5wRwRU6ivPPhfql3q+nTXN1POxISQ+aB+8+UoWz6bkYf8BGapfEPxnf6ewTSXKxwrFPJID/rIyy/d9ckgGiOXVpYp4WPxJ28g51y8x6ooqVRVLTYrmGwhju5vOuAPnfGMnOf/AK1XlFeeyx4HFFKBxRQBxSipFFMWpVoAZPcxWkXmStgHhR3Y4JwPfivN/EUU2r6Nb6o8iR3d0TapG7YURyEqGPoQM16Dqmk2+sWi29w0ihXEiNG5VlYdCDXEeN9E/s7w0zNeT3UMRXMUxUDae4wOo5xn1r08ulGNWCi/ebX3dvn8iJ7G5Z6y8eh6Tp9iE+2sqx7CDtCJxyR0JAH51zOuyR2o062FoTA5Ku0g5jZjuLAbW5BHDAdMjI611vhKfTLyGKKG1Yyxwq5llAJPf8OTXG/Eh3j12xneGNYLS5DbUbJYbgc428H8a3wEfaYpUku7frrYUtI3PUVvrfTdNtyyts2hdwXaqgDrzwB6D8q868Z69P4vjGi6XhUdlWaNwWII+fPHHGAOfWqvxL1kabaafbWaSJHPAZ4mdg7RZ7AsCRx2BH5Vk6N43tNEshcjSUkkDeWgbkdNzMenzFsc9gK68Bl1WnSjjYR5m37u2j7u/wDX6zKab5T0iGNvCPhSz0tUkjZoCklwq72jJBIzgY5dm+lcf4wu9Jm07Q9It7hIhC484srAlAu7ByOcsOK9G8F+IH8U6ML+aFUDHaqnk5XGST9enFcP8U7sRX1g8ttEEiuQJCmC0iKcqORxz/M1zYF1JYz2c17923qt7PX5dByty3R7BZXCXllBcp9yaNZB9CM1bUVlaCtk2j209harbW88YlWJQFC7ueg4H4VrLXiSVm0jUeBxRSgcUUgP/9k=","varCodeId":"cqxpubwqpzigkxrdzlcffbktk"},"message":"success"}
2022-08-17 19:17:55.382 [http-nio-8500-exec-4] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:17:55.383 [http-nio-8500-exec-4] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:17:55.384 [http-nio-8500-exec-4] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/login
2022-08-17 19:17:55.384 [http-nio-8500-exec-4] INFO  [LogAspect.java:50] - 请求方式:POST
2022-08-17 19:17:55.384 [http-nio-8500-exec-4] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:17:55.384 [http-nio-8500-exec-4] INFO  [LogAspect.java:52] - 请求类型:application/x-www-form-urlencoded; charset=UTF-8
2022-08-17 19:17:55.385 [http-nio-8500-exec-4] INFO  [LogAspect.java:53] - 请求参数:[{"password":"123456","username":"admin","varCode":"4424","varCodeId":"cqxpubwqpzigkxrdzlcffbktk"}]
2022-08-17 19:17:55.386 [http-nio-8500-exec-4] INFO  [UserController.java:33] - 登录>>>{"password":"123456","username":"admin","varCode":"4424","varCodeId":"cqxpubwqpzigkxrdzlcffbktk"}
2022-08-17 19:17:55.393 [http-nio-8500-exec-4] INFO  [LogAspect.java:64] - 处理请求[admin/login]耗时(毫秒):7
2022-08-17 19:17:55.394 [http-nio-8500-exec-4] INFO  [ResultHandler.java:24] - 接口返回={"code":100001,"data":{"password":"fefeeb129cdbe03d6066baaf72379289","sessionId":"ba13413f6c69b303e198c52c9b9c3b18","username":"admin"},"message":"登录成功"}
2022-08-17 19:39:25.414 [http-nio-8500-exec-2] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:39:25.415 [http-nio-8500-exec-2] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
2022-08-17 19:39:25.416 [http-nio-8500-exec-2] INFO  [LogAspect.java:49] - 请求URL:http://127.0.0.1:8500/multi-wechat//admin/loginOut
2022-08-17 19:39:25.416 [http-nio-8500-exec-2] INFO  [LogAspect.java:50] - 请求方式:POST
2022-08-17 19:39:25.416 [http-nio-8500-exec-2] INFO  [LogAspect.java:51] - 请求头部:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
2022-08-17 19:39:25.417 [http-nio-8500-exec-2] INFO  [LogAspect.java:52] - 请求类型:application/x-www-form-urlencoded; charset=UTF-8
2022-08-17 19:39:25.417 [http-nio-8500-exec-2] INFO  [LogAspect.java:53] - 请求参数:[{"sessionId":"ba13413f6c69b303e198c52c9b9c3b18","username":"admin"}]
2022-08-17 19:39:25.418 [http-nio-8500-exec-2] INFO  [UserController.java:40] - 登出>>>{"sessionId":"ba13413f6c69b303e198c52c9b9c3b18","username":"admin"}
2022-08-17 19:39:25.424 [http-nio-8500-exec-2] INFO  [LogAspect.java:64] - 处理请求[admin/loginOut]耗时(毫秒):5
2022-08-17 19:39:25.426 [http-nio-8500-exec-2] INFO  [ResultHandler.java:24] - 接口返回={"code":100000,"data":{"password":"fefeeb129cdbe03d6066baaf72379289","sessionId":"","username":"admin"},"message":"success"}
2022-08-17 19:39:25.871 [http-nio-8500-exec-8] INFO  [LogAspect.java:38] - ==================开始处理请求=====================>
2022-08-17 19:39:25.872 [http-nio-8500-exec-8] INFO  [LogAspect.java:48] - 请求来源:127.0.0.1
